Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,"Yes. This is contained in the Articles of Association.
The Company’s Code of Ethics goes a step further
to emphasise the need to treat all shareholders
fairly. Further, the Board has Independent
Non-executive Directors with the fiduciary duty to
protect the interests of all shareholders and ensure
that all shareholders are treated equitably.",
FA,"All shareholders are given equal notice of general
meetings and have an equal right to vote. Notices
are given to all shareholders as required by law.
Where an investor is unable to physically attend
such meetings, they are allowed to attend by proxy.
The 2020 AGM was held virtually and the Company
ensured that shareholders would be able to fully
participate in the meeting. The Company also holds
an investor briefing twice a year after release of
the Company’s financials. An investor presentation
was provided on the Company’s website in June
2020 highlighting the Company’s performance.
All investors are allowed to access information
pertinent to them, including the Annual Integrated
Report on the Company’s website, as well as at the
Shares Registrar and Company Secretary’s offices.",
