Name,Category,Retainer,"Sitting
allowance","Total
Company","Total Group
subsidiaries",Total Group
Fred Ojiambo,Chairman Non - Executive,"400,000","1,260,000","1,660,000","3,932,000","5,592,000"
Greg Brackenridge*,Chief Executive,-,-,-,-,-
Michael Blades,Non - Executive,-,-,-,"55,453,198","55,453,198"
Charles Muchene,Non - Executive,"300,000","480,000","780,000","2,615,000","3,395,000"
Kitili Mbathi,Non - Executive,"300,000","840,000","1,140,000","3,690,000","4,830,000"
Christopher Newson,Non - Executive,"300,000","480,000","780,000","3,380,000","4,160,000"
Edward W. Njoroge,Non - Executive,"300,000","840,000","1,140,000","2,860,000","4,000,000"
Rose Kimotho,Non - Executive,"300,000","840,000","1,140,000","3,480,000","4,620,000"
Ruth T. Ngobi,Non - Executive,"300,000","840,000","1,140,000","3,900,000","5,040,000"
Peter Nderitu Gethi,Non - Executive,"300,000","720,000","1,020,000","3,280,000","4,300,000"
Total,,"2,500,000","6,300,000","8,800,000","82,590,198","91,390,198"
