"31 December 2009
Shs'OOO","31 December 2008
Shs'OOO"
"35,928
6,049
429,800
(103,830)
699,449
(1,937)
(10,962)","846,593
1,361
(933,652)
5,976
226,662
86,190
(246,369)"
"1,018,569","(859,832\"
"1,054,497","(13,239)"
"907,153
147,344","21,143
(34,382)"
"1,054,497","(13,239)"
