Column,"June 2023
KES m",Column,Column
,"12,051",,
,"8,899",,
,"20,950",,
,"(8,718)",,
,"12,232",,
,"(2,497)",,
Profit before tax,"9,735","6,607",47%
,"(2,683)",,
,"7,051","4,796",47%
