Statement of profit and loss,Total,Total,CIB,CIB,BCB,BCB,PPB,PPB,IAM,IAM
,2025,2024,2025,2024,2025,2024,2025,2024,2025,2024
,"KShs
Million","KShs
Million
48,165
(23,828)","KShs
Million","KShs
Million
33,619
(22,026)","KShs
Million","KShs
Million
5,126
1,297","KShs
Million","KShs
Million
9,408
(3,098)","KShs
Million",
,"37,214",,"24,727",,"4,486",,"7,992",,9,
,"(13,130)",,"(13,283)",,967,,(814),,,
,"24,084","24,337
6,042
(1,069)","11,444","11,593
3,060
(237)","5,453","6,423
1,181
(317)","7,178","6,310
1,352
(515)",9,
,"6,778",,"3,897",,"1,226",,"1,169",,486,
,"(1,271)",,(283),,(353),,(635),,‑,
,"5,507","4,973
7,662
2,849
114
(32)","3,614","2,823
5,982
2,849
72
(32)",873,"864
834
‑
20
‑",534,"837
752
‑
15
‑",486,
,"7,608",,"6,239",,766,,469,,134,
,"1,006",,"1,006",,‑,,‑,,‑,
,280,,280,,‑,,‑,,‑,
,26,,26,,‑,,‑,,‑,
,"8,920","10,593","7,551","8,871",766,854,469,767,134,
,"38,511","39,903","22,609","23,287","7,092","8,141","8,181","7,914",629,
,"(1,628)","(3,099)",(177),(909),(352),(901),"(1,099)","(1,289)",‑,
,"36,883","36,804","22,432","22,378","6,740","7,240","7,082","6,625",629,
,"(9,147)","(9,135)
(707)
(324)
(7,657)
(10)","(4,056)","(4,032)
(256)
(74)
(3,662)
(10)","(2,478)","(2,455)
(189)
(114)
(1,681)
‑","(2,431)","(2,462
(254
(136)
(2,170)
‑",(182),
,(781),,(229,,(213),,(335),,(4),
,(317),,(76),,(119),,(121),,(1),
,"(7,698)",,"(3,538)",,"(1,824)",,"(2,206)",,(130),
,(14),,(13),,(1),,‑,,‑,
,"(17,957)","(17,833)","(7,912)","(8,034)","(4,635)","(4,439)","(5,093)","(5,022)",(317),
,"18,926","18,971","14,520","14,344","2,105","2,801","1,989","1,603",312,
,"(5,208)","(5,255)","(3,818)","(3,816)",(717),(884),(577),(480),(96),
,"13,718","13,716","10,702","10,528","1,388","1,917","1,412","1,123",216,
