Column,Column,2004,2004,2003,2003
,,Sh'OOO,%,Sh'OOO,%
,Agriculture,"504,420",10,"194,016",7
,Manufacturing,"845,838",16,"532,818",20
,Wholesaleand retail,"305,894",6,"358,101",13
,Transport andcommunications,"215,938",4,"29,855",1
,Businessservices,"756,019",15,"534,493",20
,Other,"2,499,703",49,"1,072,256",39
,,"5,127,812",100,"2,721,539",100
43,RETIREMENT BENEFIT OBLIGATIONS,,,,
