"Kshs’000
2013",Column,"Kshs’000
2013",Column,"Kshs’000
2013"
"10,336,492
(2,794,378)","11,653,458
(5,110,671)","5,991,264
(1,688,475)","6,551,007
(3,006,590)","4,345,228
(1,105,903)"
"7,542,114","6,542,787","4,302,789","3,544,417","3,239,325"
"(766,601)","(635,429)","7,274","(70,529)","(773,875)"
"6,775,513","5,907,358","4,310,063","3,473,888","2,465,450"
"3,189,124
(308,398)","2,718,045
(174,846)","2,036,795
(51,824)","1,671,998
(3,028)","1,152,329
(256,574)"
"2,880,726","2,543,199","1,984,971","1,668,970","895,755"
"5,659,242
121,000","4,973,862
32,496","5,659,242
94,435","4,973,862
31,935","-
26,565"
"5,780,242","5,006,358","5,753,677","5,005,797","26,565"
"(4,030,095)
(623,358)
(3,559,023)","(3,543,387)
(639,343)
(4,686,097)","(2,041,993)
(265,740)
(2,287,370)","(1,627,741)
(284,580)
(2,685,995)","(1,988,102)
(357,618)
(1,271,653)"
"7,224,005","4,588,088","7,453,608","5,550,339","(229,603)"
"(2,096,849)","(1,578,197)","(2,190,329)","(1,742,255)","93,480"
"5,127,156","3,009,891","5,263,279","3,808,084","(136,123)"
