Note,Column,Column,Column,Column,Column
,,2015,,,
,,KShs ‘000,,,
"35 (a)
34 (b)","6,615,386",,"8,774,316
(2,724,750)","2,404,826",
,,"6,615,386",,,"2,404,826"
,,"(1,766,959)",,,"(17,339)"
,"4,848,427",,"6,049,566","2,387,487",
,,"4,848,427",,,"2,387,487"
,,"(16,634,128)","(19,213,946)
(5,685)
(6,215,398)
(4,371,222)
(267,378)
(64,796)
1,111,037
7,502,897
(2,734,753)
-",,-
,,"115,685",,,-
,"6,071,271",,,-,
,,"6,071,271",,,-
,,"(358,255)",,,-
,,"(887,400)",,,-
,,"(291,976)",,,"6,390"
,,"9,867,671",,,-
,,"17,856,455",,,-
,,"12,259",,,"10,215"
,,"521,973",,,-
,,"16,273,555","(24,259,244)",,"16,605"
,"21,121,982",,"(18,209,678)","2,404,092",
,,"21,121,982",,,"2,404,092"
"25
27",,,"(461,422)
(6,500)
7,325",,
,,"(501,881)",,,-
,,"(342,427)",,,-
,,517,,,-
,,"(843,789)","(460,597)",,-
,,,"(976,445)
4,012,563
(3,346,898)",,
,,"(2,352,164)",,,"(2,352,164)"
,,-,,,-
,,"(31,354)",,,-
,,"(2,383,518)","(310,780)",,"(2,352,164)"
,,,"(18,981,055)
(65,586)
41,656,793",,
,"17,894,675",,,"51,928",
,,"17,894,675",,,"51,928"
,,"(915,905)",,,-
,,"22,610,152",,,"56,911"
,"39,588,922",,"22,610,152","108,839",
