"Non-
performing Portfolio Group
loans impairment Total
Shs’000 Shs’000 Shs’000"
"856,504 188,300 1,044,804
(497,198) - (497,198)
(580,054) - (580,054)
812,360 490,035 1,302,395
971 - 971"
"592,583 678,335 1,270,918"
