Column,2023,2022,2021
"Permanent
Employees",1129,1045,1005
Gender Parity,"48% Female (546)
52% Male (583)","47% Female (500)
53% Male (545)","47% Female (469)
53% Male (537)"
"Contract &
Commission
Earners
Employees","Contract: 27
Commission Earners: 54","Contract: 29
Commission Earners: 78","Contract:44
Commission Earners: 38"
"Gender Parity in
Senior Management
and above","34 Female
56 Male","36 Female
55 Male","36 Female
51 Male"
"Gender Parity
in Board","3 Female
6 Male","3 Female
6 Male","5 Female
4 Male"
"Employees living
with disability","3 Female
4 Male","3 Female
4 Male","5 Female
3 Male"
Age Breakdown,"Below 30 years – 11%
30-40 years – 52%
Above 40 - 37%","Below 30 years – 11%
30-40 years – 57%
Above 40 - 32%","Below 30 years – 6%
30-40 years – 62%
Above 40 - 32%"
"Management
(SBG 11 and above)
Non-Management
(SBG 5 – SBG 10)","Management 40%
(448)
Non-Management 60%
(681)","Management 40%
(423)
Non-Management 60%
(622)","Management 41%
(408)
Non-Management 59%
(598)"
New Hires,195,145,69
Exits,114,110,50
