Note,"Group
As at 31 December
2015 2014
KShs'000 KShs'000",Column,Column,"Company
As at 31 December
2015 2014
KShs'000 KShs'000",Column,Column
"18
20
19
30
22 (a)
22 (b)
23
24
25
26
27
28
34 (a)
34 (c)",,,"9,555,580
49,283,320
2,884,293
1,960,415
12,862,672
88,347,438
2,417,387
-
2,348,229
59,807
490,565
9,349,759
4,294
1,435,226",,,"56,911
-
-
-
-
-
8,041
18,175,338
-
-
-
-
-
-"
,,"11,350,098",,,"108,840",
,,"45,262,609",,,-,
,,"3,439,383",,,-,
,,"4,377,196",,,-,
,,"23,181,591",,,-,
,,"104,981,566",,,-,
,,"2,709,300",,,"1,651",
,,-,,,"18,175,338",
,,"2,244,902",,,-,
,,"56,854",,,-,
,,"754,370",,,-,
,,"9,349,759",,,-,
,,"382,965",,,-,
,,"361,322",,,-,
,"208,451,915",,"180,998,985","18,285,829",,"18,240,290"
,,"208,451,915",,,"18,285,829",
"30
21
31
31
33
32
37
34 (b)",,,"2,232,264
-
33,570,267
95,838,876
5,948,968
6,513,417
-
-",,,"-
-
-
-
31,220
-
1,833
45"
,,"3,361,440",,,-,
,,"521,973",,,-,
,,"47,424,577",,,-,
,,"106,246,235",,,-,
,,"5,961,263",,,"40,071",
,,"6,482,063",,,-,
,,-,,,"3,198",
,,"89,535",,,"5,910",
,,"170,087,086","144,103,792",,"49,179","33,098"
"29
29
40
17",,,"1,976,608
16,897,389
330,248
15,635,275
2,055,673",,,"1,976,608
16,897,389
-
(2,722,478)
2,055,673"
,,"1,976,608",,,"1,976,608",
,,"16,897,389",,,"16,897,389",
,,"(790,252)",,,,
,,"18,146,346",,,"(2,772,085)",
,,"2,134,738",,,"2,134,738",
,,"38,364,829","36,895,193",,"18,236,650","18,207,192"
,,,-,,,-
,"208,451,915",,"180,998,985","18,285,829",,"18,240,290"
