June-2019,June-2018,Change
KES millions,KES millions,%
"94,099","91,541",
"15,172","17,558",
"161,912","136,477",
"28,287","20,371",
"3,306","2,271",
"10,534","10,563",
"313,310","278,781",
"36,433","48,466",
"201,551","167,306",
"9,185","7,032",
"19,312","13,767",
"46,829","42,210",
"313,310","278,781",
"74,606","72,479",
"2,532","6,286",
"72,074","66,193",
