Column,"17,127,042",Column
"16,608,234",,"4,901"
"(5,963,953)","(6,266,995)",-
"10,644,281","10,860,047","4,901"
"(2,761,325)","(1,751,812)",-
"7,882,956","9,108,235","4,901"
"4,348,008","3,242,504",-
"(401,215)","(337,539)",-
"3,946,793","2,904,965",-
,"4,723,253
29,093",
"4,403,510",,-
"69,805",,"1,900,274"
"4,473,315","4,752,346","1,900,274"
"16,303,064","16,765,546","1,905,175"
,"(5,440,584)
(3,543,883)
(517,500)
(1,214,493)",
"(5,735,195)",,-
"(4,268,006)",,"(26,422)"
"(612,933)",,-
"(285,682)",,(524)
"(10,901,816)","(10,716,460)","(26,946)"
,"6,049,086
(1,630,497)",
"5,401,248",,"1,878,229"
"(1,091,754)",,"(1,339)"
"4,309,494","4,418,589","1,876,890"
,11.18,
10.90,,4.75
