Note,"Group
As at 31 December
2016 2015
KShs'000 KShs'000",Column,Column,"Company
As at 31 December
2016 2015
KShs'000 KShs'000",Column,Column
,,2016,,,2016,
,,KShs'000,,,KShs'000,
"19
21
20
31
23 (a)
23 (b)
24
25
26
27
28
29
35 (b)
35 (c)",,,"11,350,098
45,262,609
3,439,383
4,377,196
23,181,591
104,981,566
2,709,300
-
2,244,902
56,854
754,370
9,349,759
382,965
361,322",,,"-
-
-
-
108,840
-
1,651
18,175,338
-
-
-
-
-
-"
,,"8,621,228",,,-,
,,"50,032,732",,,-,
,,"2,894,456",,,-,
,,"2,472,191",,,-,
,,"16,988,881",,,"100,662",
,,"115,587,723",,,-,
,,"3,817,487",,,-,
,,-,,,"18,175,338",
,,"2,207,965",,,-,
,,"53,901",,,-,
,,"1,135,496",,,-,
,,"9,349,759",,,-,
,,"113,547",,,"18,872",
,,"1,407,363",,,-,
,"214,682,729",,"208,451,915","18,294,872",,"18,285,829"
"31
22
32 (a)
32 (b)
34
33
38
35 (a)
35 (c)",,,"3,361,440
521,973
47,424,577
106,246,235
5,961,263
6,482,063
-
89,535
-",,,"-
-
-
-
40,069
-
3,198
5,910
2"
,,"3,061,063",,,-,
,,"3,867,718",,,-,
,,"36,506,824",,,-,
,,"119,328,219",,,-,
,,"6,389,083",,,"60,110",
,,"3,986,138",,,-,
,,-,,,-,
,,"1,402,810",,,-,
,,-,,,11,
,"174,541,855",,"170,087,086","60,121",,"4 9 , 1 7 9"
"30 (b)
30 (c)
40
18",,,"1,976,608
16,897,389
(790,252)
18,146,346
2,134,738",,,"1,976,608
16,897,389
-
(2,772,085)
2,134,738"
,,"1,976,608",,,"1,976,608",
,,"16,897,389",,,"16,897,389",
,,"(758,058)",,,-,
,,"20,649,216",,,"(2,014,965)",
,,"1,375,719",,,"1,375,719",
,,"40,140,874","38,364,829",,"18,234,751","18,236,650"
,"214,682,729",,"208,451,915","18,294,872",,"18,285,829"
