Column,Column,2016,Column,Column,2015,2016,2015
,,KShs’000,,,KShs’000,KShs’000,KShs’000
Profit before income tax,,,,,,,
,,"6,049,086",,,"7,359,414","2,839,223","2,404,826"
,Tax at statutory tax rate of 30% (2015: 30%),"1,8 14,726",,"2,207,824
58,015
96,624
-
(2,159)
(4,483)
97,859
-",,"851,767","721,448"
,Tax effect of:,,,,,,
,,"(470,063)",,,,"(850,421)","(709,680)"
,,"97,236",,,,"5,318","11,436"
,,,-,,,-,-
,,"14,300",,,,-,-
,,"(35,356",),,,-,-
,,"7,351",,,,-,-
,,"202,303",,,,-,-
,Income tax expense,"1,630,497",,,"2,453,680","6,664","23,204"
