"Year ended 31 December 2014
Personal and Business Banking
- Mortgage lending
- Instalment sales and finance leases
- Card debtors
- Other loans and advances
Corporate and Investment
Banking
- Corporate lending","Total loans
and advances
to customers
KShs’000
2014",Performing loans,Column,Column,Non-performing loans,Column
,,"Neither past due nor
specifically impaired",,"Not specifically
impaired",,
,,"Normal
monitoring
KShs’000
2014","Close
monitoring
KShs’000
2014","Early
arrears
KShs’000
2014","Non-
performing
KShs’000
2014","Sub-
standard
KShs’000
2014"
,N=A+B+C+L,A,B,C,D,E
,"44,699,473","37,287,646","1,077,271","4,699,413",-,"886,407"
,"14,491,506","12,693,138","47,079","1,367,878",-,"380,943"
,"10,191,281","7,686,620","328,970","1,762,946",-,"255,776"
,"291,293","231,195",-,"50,712",-,-
,"19,725,393","16,676,693","701,222","1,517,877",-,"249,688"
,"45,639,943","38,626,541","3,080,981","2,543,834",-,"1,343,880"
,"45,639,943","38,626,541","3,080,981","2,543,834",-,"1,343,880"
"Total recognised loans and
advances to customers","90,339,416","75,914,187","4,158,252","7,243,247",-,"2,230,287"
"Percentage of total loans and
advances (%)",,84.03%,4.6%,8.02%,0.00%,2.47%
Less;,,,,,,
"Balance sheet impairment for per-
forming loans","(888,912)",,,,,
"Balance sheet impairments for
non-performing specifically impaired
loans","(1,103,066)",,,,,
"Net loans and advances to
customers","88,347,438",,,,,
