Dec-18,Dec-17,Change
KES millions,KES millions,%
"72,260","76,245",
"28,381","12,744",
"146,604","130,536",
"30,491","16,201",
"2,234","2,307",
"10,600","10,706",
"290,570","248,739",
"27,909","38,707",
"191,585","154,661",
"7,064","3,989",
"19,389","8,426",
"44,623","42,956",
"290,570","248,739",
"78,372","38,664",
"3,527","4,686",
"74,845","33,978",
