"As the functional currency of Stanbic Bank South Sudan branch is the currency of a hyperinflationary economy, deferred tax relating
to this branch is recognised using the liability method, providing for temporary differences arising between the tax bases of assets and
liabilities and their restated carrying amounts.",Column,Column,Column,Column
,GROUP,,,
Year ended 31 December 2022,01.01.2022,"(Credited)/
charged to
statement of
profit or loss","Translation
difference",31.12.2022
Arising from:,,,,
Property and equipment,(1),2,-,1
Effect of tax rate change,-,3,-,3
Exchange difference on translation,-,(2),-,(2)
Other provisions,7,11,-,18
Right-of-use assets,12,(18),-,(6)
Net deferred income tax asset,18,(4),-,14
