"Unsecured Secured Netting Secured exposure
31 December 2021 Total exposure
exposure exposure agreements after netting
KShs Million KShs Million KShs Million KShs Million KShs Million
Asset class
Corporate 104,658 15,549 89,109 - 89,109
Sovereign 59,556 59,556 - - -
Loans and advances to banks 44,009 44,009 - - -
Group 17,582 17,582 - - -
Other banks 26,427 26,427 - - -
Retail 96,284 21,739 74,545 - 7 4,545
Retail mortgage 35,864 - 35,864 - 35,864
Other retail 60,420 21,739 38,681 - 38,681",Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than 0%
to 50%","Greater than
50% to 100%","Greater than
100%"
,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million
,"104,658
59,556","15,549
59,556","89,109
-","-
-","89,109
-","-
-","89,109
-","-
-"
,"s 44,009","44,009",-,-,-,-,-,-
,"17,582
26,427","17,582
26,427","-
-","-
-","-
-","-
-","-
-","-
-"
,"96,284","21,739","74,545",-,"7 4,545",-,"74,545",-
,"35,864
60,420","-
21,739","35,864
38,681","-
-","35,864
38,681",-,"35,864
38,681","-
-"
Total,"304,507","140,853","163,654",-,"1 63,654",-,"1 63,654",-
"Less: Impairments for loans
and advances","(15,653)",,,,,,,
Total exposures,"288,854",,,,,,,
"31 December 2020
Asset class
Corporate
Sovereign
Loans and advances to bank
Group
Other banks
Retail
Retail mortgage
Other retail",,,,,,Collateral coverage - Total,,
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than 0%
to 50%","Greater than
50% to 100%","Greater than
100%"
,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million
,"87,034
87,584","15,694
87,584","71,340
-","-
-","71,340
-","-
-","71,340
-","-
-"
,"s 38,119","38,119",-,-,-,-,-,-
,"27,171
10,948","27,171
10,948","-
-","-
-","-
-","-
-","-
-","-
-"
,"89,561","21,628","67,933",-,"6 7,933",-,"67,933",-
,"34,783
54,778","-
21,628","34,783
33,150","-
-","34,783
33,150","-
-","34,783
33,150","-
-"
"Total
Less: Impairments for loans
and advances","302,298
(18,434)","163,025","139,273",-,"1 39,273",-,"1 39,273",-
Total exposure,"283,864",,,,,,,
