Date,Training,"No of Training
Hours"
16 January 2025,Sustainability,2.5
10 April 2025 Board Responsibility (Ethics & conflict of Interest) 2.5,,
12 June 2025,"Technology (AI, Cybersecurity & Data)",2.5
"10 July 2025 Corporate Governance (Principles, Board Sustainability, Stewardship Code) 2.5",,
18 September 2025,"AML, CFT Training",2.5
9 October 2025 Insurance & Capital Markets 2,,
Total Training hours,,14.5
