Name,Category,Retainer,"Sitting
allowance","Total
Company","Total Group
subsidiaries",Total Group
,Chairman Non - Executive,400 000,900 000,1 300 000,4 297 008,5 597 008
,Chief Executive,-,-,-,-,-
,Non - Executive,300 000,840 000,1 140 000,5 351 232,6 491 232
,Non - Executive,225 000,660 000,885 000,3 709 424,4 594 424
,Non - Executive,300 000,600 000,900 000,3 215 232,4 115 232
,Non - Executive,300 000,600 000,900 000,3 911 232,4 811 232
,Non - Executive,300 000,720 000,1 020 000,4 619 232,5 639 232
,Non - Executive,300 000,600 000,900 000,5 103 232,6 003 232
Rose Osoro,Non - Executive,300 000,720 000,1 020 000,2 731 232,3 751 232
Dorcas Kombo,Non - Executive,300 000,720 000,1 020 000,2 731 232,3 751 232
Total,,2 725 000,6 360 000,9 085 000,35 669 056,44 754 056
