Responses,Column,Column
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"As at 31 December 2019, five of the eight directors on the
Board are independent non-executive directors. This is
disclosed in the 2019 Annual Report.","The 2019 Annual Integrated Report under profile of directors
contained within the Corporate Governance Statement."
FA,"Yes. In compliance with Section 10 of the Board Mandate, the
Board conducts a Board Evaluation Exercise in the first
quarter of every financial year (with the last exercise being
carried out on 27 February 2020 by an independent service
provider, in line with recommended best practice). This
includes an evaluation of the independence of independent
directors. A register of declaration of interest is also
mandated under Section 9.6 of the Board Mandate and a
record of the same maintained by the Company Secretary.
There is also a register with the declaration of independence
by the directors in line with the applicable regulations.","Board Mandate contained on the Company’s website. Board
Evaluation Report and Minutes of the session, provided to
relevant regulators. Declaration of independence of the
directors register."
FA,"Yes. This is stipulated in the Board Mandate under Section
4.6. After expiry of this period, such Directors are re-
designated as non-independent non-executive Directors",Board Mandate.
FA,Yes. 7 out of the 8 directors are non-executive directors.,"Board Meeting Minutes and the 2019 Annual Report under
Director Profiles."
FA,"Yes. The Company’s Articles of Association Section 110 and
the Nominations Committee Mandate under Sections 7.1.5
and 7.1.6 guarantee this. The Board is always adequately
composed and it is provided that only a third of directors
retire by rotation at the Annual General Meeting.","Articles of Association of the Company and Nominations
Committee Mandate available on the Company’s website."
FA,"Yes. The Board is empowered under Article 140 of the Articles
of Association to form any committees necessary. The Board
has established an effective Audit Committee in accordance
with Section 3.1.1 of the Board Mandate. The Committee is
chaired by an independent non-executive director and
professional accountant in good standing. Two other
members sit on the Committee, both independent non-
executive directors. The composition requirements of the
Committee are clearly outlined under Section 2 of the BAC
Mandate.","The BAC Meeting Minutes, Board Meeting Minutes and the
BAC Mandate. The BAC mandate is available on the
Company’s website."
FA,"Yes, the functions of the Chairman of the Board and the Chief
Executive Officer are exercised by different individuals. This is
indicated under the Governance Framework under Principle
1.3 and supported by Section 2.4 of the Company’s Board
Mandate.","The Board Mandate and 2019 Annual Integrated Report, both
available on the Company’s website. Board Meeting Minutes
and the Governance Framework."
FA,"Yes, the Chairman of the Board is a non-executive Director.
This is reflected in the Board Mandate, Board Meeting
minutes and the Annual Integrated Report, under director
profiles. Section 2.4 of the Board Mandate indicates that the
Chairman of the Board must be a non-executive director.","2019 Annual Integrated Report and the Board Mandate
available on the Company’s website. AGM Minutes and Board
Meeting Minutes."
FA,"This is explicitly provided for under Sections 7.37 and 8.6 of
the Board Mandate. Board members have the authority to
obtain access to all relevant information as and when
required. Further, the Board may obtain information from
Management or an external professional where necessary, at
the Company’s cost.",Board Mandate available on the Company’s website.
FA,"Included in the Company’s Articles of Association under
Sections 113, 114, 115 and 116. Section 9 of the Board Mandate
makes explicit provisions on matters touching on conflict of
interest, which is in line with the Code of Corporate
Governance. At the beginning of every calendar year, Board
members are required to sign a register on declaration of
interests and is reveiwed in the event a change arises. In
addition, the agenda of every board meeting includes an item
of declaration of any conflict of interest at the beginning of
the meeting, prior to confirmation of minutes. The Company’s
Governance Framework and Code of Ethics contains
provisions on this.","Register of Conflicts of Interest and Governance Framework
available for review. Articles of Association, Board Mandate
and Group Code of Ethics contained on the Company’s
website. In addition, Board Meeting Minutes."
FA,"This is in place within the Company’s banking subsidiary
Credit Committee Mandate under Section 6.4.1 and in the
Board Mandate under Section 9. Related party transactions
are also disclosed in the Financial Statements section of the
Annual Integrated Report.","Stanbic Bank Kenya Board Credit Committee Mandate,
Company Board Mandate and 2019 Annual Integrated
Report."
