Column,"2021
Kshs. billion","2020
Kshs. billion",Change
Total income,25.0,23.2,7.54%
Credit impairment charge,2.5,4.9,(48.24%)
Total operating expenses,12.7,12.1,4.74%
Profit for the year,7.2,5.2,38.83%
Loans and advances to customers,185.3,158.2,17.15%
Non performing loans,22.5,25.0,(9.84%)
Total assets,328.9,328.6,0.08%
Deposits from customers,242.3,217.4,11.45%
Total equity,56.5,51.7,9.13%
