Column,Column,Column,Column,Attributable to equity holders,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,,Share,,Share,,Other,,Retained,,Proposed,Total Equity,
,,,,Capital,,Premium,,Reserves,,Earnings,,Dividends,,Total Equity
,For the year ended 31 December 2015,No te,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000
,At 1 January 2015,,,"1,976,608",,"16,897,389",,"330,248",,"15,635,275",,"2,055,673",,"36,895,193"
,Profit for the year,,,-,,-,,-,,"4,905,734",,-,,"4,905,734"
,"Other comprehensive income, net of tax",,,-,,-,,"(1,097,940)",,-,,-,,"(1,097,940)"
,Transfer to statutory credit risk reserve,,,-,,-,,"66,048",,"(66,048)",,-,,-
,"Transactions with owners, recorded directly in equity",,,,,,,,,,,,,
,Contributions by and distributions to owners of the,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,Dividends to equity holders - dividend paid,17,,-,,-,,-,,"(296,491)",,"(2,055,673)",,"(2,352,164)"
,Proposed dividend,17,,-,,-,,-,,"(2,134,738)",,"2,134,738",,-
,Transfer of vested share option from share based reserve,,,-,,-,,"(102,614)",,"102,614",,-,,-
,Share based payment reserve,41(a),,-,,-,,"14,006",,-,,-,,"14,006"
,Total transactions with owners,,,-,,-,,"(88,608)",,"(2,328,615)",,"79,065",,"(2,338,158)"
At 31 December 2015,,,"1,976,608",,"16,897,389",,"(790,252)",,"18,146,346",,"2,134,738",,"38,364,829",
