Column,Column,Increase,Sensitivity of,Sensitivity of other,Decrease,Sensitivity of,Sensitivity of other
,,in basis,net interest,comprehensive,in basis,net interest,comprehensive
,,points,income,income,points,income,income
,,2015,2015,2015,2015,2015,2015
,Currency,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
,KShs,350,"844,670","(203,213)",300,"(901,025)","174,182"
,Others*,100,"8,087",-,100,"(6,626)",-
"Increase Sensitivity of Sensitivity of other Decrease Sensitivity of Sensitivity of other
in basis net interest comprehensive in basis net interest comprehensive
points income income points income income
2014 2014 2014 2014 2014 2014
Currency KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000",,,,,,,
"KShs 350 614,403 (354,811) 300 (626,615) 304,124
Others* 100 (423) - 100 (1,586) -",,,,,,,
