Column,"11,350,098",-,-,Column,"11,350,098","11,350,098"
,"10,671,838",-,"15,600,084",,"26,271,922","23,181,591"
,-,-,"113,740,365",,"113,740,365","104,981,565"
,"22,021,936",-,"129,340,449",,"151,362,385","139,513,254"
Liabilities,,,,,,
Deposits from banks,-,-,"(44,113,497)",,"(44,113,497)","(47,424,577)"
Deposits from customers,"(62,349,335)",-,"(35,285,467)",,"(97,634,802)","(106,246,235)"
Subordinated debt,-,"(8,657,793)",-,,"(8,657,793)","(6,482,063)"
,"(62,349,335)","(8,657,793)",,,"(150,406,092)","(112,728,298)"
,,,,"(79,398,964)",,
