Rank,2019/2020,Description,Trend,2018/2019,Relevant mitigants
1,Cyber risk,"The risk of financial loss, disruption
or reputational damage resulting
from security breaches or attacks
on transaction sites, systems or
networks",,Cyber risk,
2,"Technology
risk","The risk associated with the use,
ownership, operation, involvement,
influence and adoption of
technology within the bank that
could potentially impact business,
including technology changes,
updates or alterations",,"Technology
risk",
3,"Conduct
risk","The risk that detriment is caused to
the Bank’s clients, the market or the
Bank itself because of inappropriate
execution of business activities",,"Regulatory
impact risk",
4,"Information
risk","The risk of accidental or intentional
unauthorised use, access to or
modification, disclosure or
destruction of information
resources that would compromise
the confidentiality, integrity and
availability of information and
thereby harm the business.",,Fraud risk,
5,"Regulatory
impact risk","The risk of reputational and
financial losses due the inability
of the bank to keep abreast
of regulatory developments,
and to comply with regulatory
requirements",,"Information
risk",
6,"Business
disruption
risk","The risk of reputational damage and
financial loss arising from disrupted
business services",,"Business
disruption
risk",
