"Notes (continued)
38 Deferred income tax asset/ (liability)
38 (a) Deferred income tax asset/ (liability)",Column,Column,Column,Column,Column,Column
Kenya operations GROUP COMPANY,,,,,,
"Note
At start of year
Credit /debit to statement of profit or
16
loss
Credit /debit to statement of profit or
loss - Foreign operations 39 (b)
` Credit/ debit to OCI
Transferred to asset held-for-sale
Previous year deferred income tax
over provision
Exchange difference on translation
At 31 December",,,"2021
KShs
Million","2020
KShs
Million","2021
KShs
Million","2020
KShs
Million"
,,,"4,847
789
19
-
-
-
(7)","4,397
330
-
(32)
-
148
4","-
-
-
-
-
-
-","-
-
-
-
-
-
-"
,,,"5,648","4,847",-,-
"Year ended 31 December 2021
Arising from:
Property and equipment
Unrealised gain on bonds- FVOCI
Unrealised gain on bonds- FVTPL
Right-of-use assets
Impairment charges on loans and
advances
Other provisions",,"(Credited)/
charged to
Charge to Translation
1.1.2021 statement 31.12.2021
SOCI difference
of profit or
loss
KShs KShs KShs KShs KShs
Million Million Million Million Million",,,,
,,"88 122 - - 210
4 - - - 4
( 133) (13) - - (146)
2 6 20 - 46
3,700 429 - 4,129
-
1 ,244 231 - - 1,475",,,,
,Group intangible assets,( 90) - - - (90),,,,
"Unrealised gain on South Sudan paid
up capital
Exchange difference on translation
South Sudan deffered tax asset",,"(8) - - (8)
-
2 - - (7) (5)
14 19 - - 33",,,,
,Net deferred asset,"4,847 808 - (7) 5,648",,,,
