"Total
2022
KShs
Million","Total
2021
KShs
Million","Kenya
2022
KShs
Million","Kenya
2021
KShs
Million","South
Sudan
2022
KShs
Million"
"20,771","15,403
18,535
19,227
21,773
1,881
-
44,008
185,313
3,704
18
1,915
1,037
39
1,021
9,350
5,648","14,300","10,719
18,535
19,227
21,773
1,881
-
31,649
185,293
3,690
18
1,785
805
39
1,015
9,350
5,630","6,471"
"25,126",,"25,126",,-
"32,136",,"32,136",,-
"26,289",,"26,289",,-
"2,259",,"2,259",,-
21,,-,,21
"30,962",,"13,186",,"17,776"
"235,867",,"235,858",,9
"6,101",,"6,092",,9
18,,18,,-
"1,901",,"1,840",,61
924,,839,,85
36,,36,,-
837,,829,,8
"9,350",,"9,350",,-
"7,232",,"7,217",,15
"399,830","328,872","375,375","311,409","24,455"
,"1,743
357
1,751
12,243
242,345
5,700
7,149
1,132",,"1,743
357
1,732
10,476
230,497
5,700
4,671
850",
"1,687",,"1,687",,-
"8,001",,"8,001",,-
"1,430",,"1,430",,-
"32,753",,"32,743",,10
"271,564",,"251,069",,"20,495"
"10,141",,"10,141",,-
"10,899",,"8,217",,"2,682"
"1,157",,882,,275
"337,632","272,420","314,170","256,026","23,462"
"62,198","56,452","61,205","55,383",993
"399,830","328,872","375,375","311,409","24,455"
