"Year ended 31 December 2015
Personal & Business Banking","Total Loans
and Advances
to Customers
(Net of IIS)","Balance
sheet
impairments
for
performing
loans",Performing loans,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,"Neither past due nor
specifically impaired",,Not specifically impaired,,Specifically impaired loans,,,,,,,,"Total non-
performing
loans","Non-
performing
loans","Interest in
Suspense
LCY'000"
,,,,,,,Non-performing loans,,,,,,,,,,
,,,"Normal Close
monitoring monitoring",,"Early
arrears","Non-
performing","Sub-
Doubtful Loss
standard",,,Total,"Securities
and
expected
recoveries
on
specifically","Net after
securities and
expected
recoveries on
specifically
impaired","Balance sheet
impairments
for non-
performing
specifically
impaired loans","Gross
Specific
Impairment
Coverage",,,
,"2015
Kshs’000","2015
Kshs’000","2015 2015
Kshs’000 Kshs’000",,"2015 2015
Kshs’000 Kshs’000",,"2015 2015 2015
Kshs’000 Kshs’000 Kshs’000",,,"2015
Kshs’000","2015
Kshs’000","2015
Kshs’000","2015
Kshs’000","2015
%","2015
Kshs’000","2015
%","2015
Kshs’000"
,N=A+B+C+L-M,,A,B C,,D E,,F G H=E+F+G,,,I,J=H-I,K,,L=H+D,,M
,"5 1,119,214","5 89,025","3 6,471,462","5 ,992,222","6 ,167,723",-,"1 ,903,928","2 61,532","6 20,175","2 ,785,635","1 ,404,643","1 ,380,992","1 ,083,164",44,"2 ,686,177",4.9,"2 97,828"
"Mortgage lending
Instalment sales and finance leases
Card debtors
Other Loans and Advances
Overdrafts
Term Loans
Business Term Loans and Overdrafts","1 7,891,656
1 0,952,446
2 86,220
2 1,988,892","1 02,202
2 11,999
-
2 74,824","1 2,705,282
7 ,070,353
2 27,248
1 6,468,579","2 ,846,400
3 88,864
2 ,756,958","1 ,644,624
2 ,737,022
4 9,298
1 ,736,779","-
-
-
-","8 32,832
5 13,542
-
5 57,554","-
2 51,918
-
9 ,614","3 ,778
4 7,857
9 ,674
5 58,866","8 36,610
8 13,317
9 ,674
1 ,126,034","5 76,617
3 67,120
2 62
4 60,644","2 59,993
4 46,197
9 ,412
6 65,390","1 18,733
3 89,087
9 ,412
5 65,932","14.2
47.8
97.3
50.3","8 36,610
8 13,317
9 ,674
1 ,026,576","4.7
7.4
3.4
4.7","1 41,260
5 7,110
-
9 9,458"
,"763,607
9,854,983
11,370,302","13,209
159,659
101,956","354,844
8,345,010
7,768,725","183,780
320,153
2,253,025","212,204
682,982
841,593","-
-
-","562
64,787
492,205","1,887
3,067
4,660","10,866
493,355
54,645","13,315
561,209
551,510","-5,882
49,515
417,011","19,197
511,694
134,499","18,661
457,323
89,948","140.2
81.5
16.3","13,315
561,209
551,510","1.7
5.7
4.9","536
54,371
44,551"
Corporate & Investment Banking,"5 6,292,754","5 70,224","3 6,676,994","4 ,176,834","1 3,756,292","1 24,542","1 ,920,102","2 8,115",-,"1 ,948,217","1 ,370,103","5 78,114","1 87,989",9.6,"2 ,072,759",3.7,"3 90,125"
"Corporate loans
Gross loans and advances","5 6,292,754","5 70,224","3 6,676,994","4 ,176,834","1 3,756,292","1 24,542","1 ,920,102","2 8,115",-,"1 ,948,217","1 ,370,103","5 78,114","1 87,989",9.6,"2 ,072,759",3.7,"3 90,125"
,"1 07,411,968","1 ,159,249","7 3,148,456","1 0,169,056","1 9,924,015","1 24,542","3 ,824,030","2 89,647","6 20,175","4 ,733,852","2 ,774,746","1 ,959,106","1 ,271,153",26.9,"4 ,758,936",4.4,"6 87,953"
Percentage of total book (%),100%,1.08%,68.10%,9.47%,18.55%,0.12%,3.56%,0.27%,0.58%,4.41%,2.58%,1.82%,1.18%,,4.43%,,0.64%
"Less:
Balance sheet impairment for
performing loans
Balance sheet impairments for non-
performing specifically impaired loans
Net loan advances to customers","( 1,159,249)
( 1,271,153)",,,,,,,,,,,,,,,,
,"1 04,981,566",,,,,,,,,,,,,,,,
