Nature,Column
Amortised cost,"A debt instrument that meets both of the following conditions (other than those designated at
fair value through profit or loss):
● held within a business model whose objective is to hold the debt instrument (financial
asset) in order to collect contractual cash flows; and
● The contractual terms of the financial asset give rise on specified dates to cash flows
that are solely payments of principal and interest on the principal amount outstanding.
This assessment includes determining the objective of holding the asset and whether the
contractual cash flows are consistent with a basic lending arrangement. Where the contractual
terms introduce exposure to risk or volatility that are not considered de minimis and are
inconsistent with a basic lending arrangement, the financial asset is classified as fair value
through profit or loss - default."
"Fair value
through other
comprehensive
income (FVOCI)","A debt instrument that meets both of the following conditions (other than those designated at
fair value through profit or loss):
● Held withinabusiness modelin whichthedebtinstrument (financial asset) is managed
to both collect contractual cash flows and sell financial assets; and
● The contractual terms of the financial asset give rise on specified dates to cash flows
that are solely payments of principal and interest on the principal amount outstanding.
This assessment includes determining the objective of holding the asset and whether the
contractual cash flows are consistent with a basic lending arrangement. Where the contractual
terms introduce exposure to risk or volatility that are not considered de minimis and are
inconsistent with a basic lending arrangement, the financial asset is classified as fair value
through profit or loss - default.
Equity financial assets which are not held for trading and are irrevocably elected (on an
instrument-by-instrument basis) to be presented at fair value through OCI."
Held-for-trading,"Those financial assets acquired principallyfor the purpose of selling in the near term (including
all derivative financial assets) and those that form part of a portfolio of identified financial
instruments that are managed together and for which there is evidence of a recent actual
pattern of short-term profit taking."
"Designated at
fair value
through profit
or loss (FVTPL)","Financialassets are designatedtobemeasured atfair valuetoeliminateor significantlyreduce
an accounting mismatch that would otherwise arise."
"Fair value
through profit
or loss - default","Financial assets that are not classified into one of the above mentioned financial asset
categories."
