Dec-2019,Dec-2018,Change
KES millions,KES millions,%
70 078,72 260,
38 378,28 381,
152 817,146 604,
28 303,30 491,
2 302,2 234,
1 360,-,
10 374,10 600,
303 612,290 570,
30 451,27 909,
194 222,191 585,
9 127,7 064,
19 393,19 389,
1 371,-,
49 048,44 623,
303 612,290 570,
69 392,78 372,
7 379,3 527,
62 013,74 845,
