"31 December
2011
Shs’000",Column,Column,"31 December
2011
Shs’000",Column,Column
"6,042,024
8,603,450
(2,561,426)
(652,853)",,"4,156,658","-
-
-
-",,
,"8,603,450
(2,561,426)","6,079,464
(1,922,806)",,,
,,"(521,441)",,,
"5,389,171",,"3,635,217",-,,
"4,756,855
2,095,809",,"4,640,493","221,744
-",,
,"2,095,809","1,757,431",,-,-
,"2,350,880
(255,071)","1,865,722
(108,291)",,"-
-","-
-"
"2,513,521
147,525
43,238","2,513,521
147,525","2,378,023
505,039","-
221,744
-","-
221,744","-
301,034"
,,"44,016",,,
"10,189,264",,"8,319,726","221,744",,
"(7,390,363)
(2,947,416)
(4,442,947)
2,798,901",,"(6,313,759)","(101,650)
-
(101,650)
120,094",,
,"(2,947,416)
(4,442,947)","(2,509,024)
(3,804,735)",,,
,,"2,005,967",,,
"(1,159,744)",,"(598,324)",-,,
"1,639,157",,"1,407,643","120,094",,
"199,835",,"379,725",-,,
"1,838,992",,"1,787,368","120,094",,
"1,738,853
100,137
1,838,992",,,"120,094
-
120,094",,
,"1,738,853
100,137
1,838,992","1,604,773
182,595
1,787,368",,,
5.99,,5.14,0.44,,
0.73,,1.39,-,,
