"Notes (continued)
GROUP COMPANY",Column,Column,Column,Column,Column
12 Other income,,"2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
"Gain on disposal of property and equipment
Dividend income",,"24
-","14
-
139","-
6,352","-
5,654"
,Other income,90,,-,-
,,114,153,"6,352",
13 Employee benefits expense,,,,,
"Salaries and wages
Retirement benefit costs",,"8,449
686","8,027
629","158
8","76
5"
,,"9,135","8,656",166,81
Included in retirement benefit costs are;,,,,,
"Defined contribution scheme
National Social Security Fund",,"650
36","610
19","-
-","-
-"
,,686,629,-,-
Average staff numbers for the year;,,,,,
"Management
Supervisory
Clerical and other categories
Total",,"475
495
260","4 45
4 71
2 58","2
-
1","2
-
1"
,,"1 ,230","1 ,174",3,3
