"1,795,646 1,837,394 1,019,475 4,652,515
2,141,217 442,618 463,068 3,046,903
- - 3,915,452 3,915,452
- - (2,809,324) (2,809,324)
21,635 - 60,603 82,238
(285,813) (313,336) - (599,149)
- - (699,449) (699,449)
(826,260) (913,751) (566,238) (2,306,249)
(1,071,638) (2,032,147) (1,469,851) (4,573,636)"
"1,774,787 (979,222) (86,264) 709,301
(686,734) 206,715 (193,354) (673,373)"
"1,088,053 (772,507) (279,618) 35,928"
"88,221,542 19,590,805 19,878,603 127,690,950
55,967,744 13,329,829 1,624,839 70,922,412
56,248 - 281,427 337,675
64,127,044 18,406,961 - 82,534,005
922,462 949,902 1,090,301 2,962,665
7,495,745 4,822,844 190,743 12,509,332
(68,910,566) (21,882,877) (16,555,905) (107,349,348)
(2,513,173) (2,743,445) - (5,256,618)
(16,228) - - (16,228)
254,216 575,275 206,242 1,035,733
56,971 713,622 17,770 788,363
201,524 271,416 145,028 617,968"
