Total,"Total
2021
KShs
Million",CIB,"CIB
2021
KShs
Million",BCC,"BCC
2021
KShs
Million",CHNW
2022,,2022,,2022,,2022
"KShs
Million",,"KShs
Million",,"KShs
Million",,"KShs
Million"
,"15,403
18,535
19,227
21,773
1,881
-
44,008
185,313
3,704
18
1,915
1,037
39
1,021
9,350
5,648",,"11,277
18,535
19,227
21,773
1,881
-
42,412
99,509
832
10
719
207
23
600
8,882
3,731",,"2,664
-
-
-
-
-
1,216
35,692
1,450
4
263
59
8
206
468
876",
"20,771",,"19,845",,574,,352
"25,126",,"25,126",,-,,-
"32,136",,"32,136",,-,,-
"26,289",,"26,289",,-,,-
"2,259",,"2,259",,-,,-
21,,21,,-,,-
"30,962",,"28,000",,"2,137",,825
"235,867",,"144,369",,"38,655",,"52,843"
"6,101",,"1,866",,"2,060",,"2,175"
18,,11,,3,,4
"1,901",,756,,239,,906
924,,345,,330,,249
36,,21,,7,,8
837,,491,,149,,197
"9,350",,"8,882",,468,,-
"7,232",,"4,746",,"1,161",,"1,325"
"399,830","328,872","295,163","229,618","45,783","42,906","58,884"
,"1,743
357
1,751
12,243
242,345
5,700
7,149
1,132",,"1,743
357
1,048
12,243
113,340
3,318
5,724
373",,"-
-
246
-
56,467
1,164
48
105",
"1,687",,"1,687",,-,,-
"8,001",,"8,001",,-,,-
"1,430",,936,,199,,295
"32,753",,"32,753",,-,,-
"271,564",,"132,511",,"65,371",,"73,682"
"10,141",,"6,050",,"1,921",,"2,170"
"10,899",,"7,469",,574,,"2,856"
"1,157",,643,,75,,439
"337,632","272,420","190,050","138,146","68,140","58,030","79,442"
"62,198","56,452","37,506","33,278","11,969","11,588","12,723"
-,-,"67,607","58,194","(34,326)","(26,712)","(33,281)"
"399,830","328,872","295,163","229,618","45,783","42,906","58,884"
