Column,"1,368,421","13,586,847","(77,846)","(988,656)","85,819",-,"65,199","5,289,343","19,329,127"
,-,-,"(124,232)","1,187,694",-,-,-,"3,134,123","4,197,585"
"Income for the year
Other comprehensive income:
Transfer from statutory reserves
Available-for-sale financial assets net of
tax",,,,,,,,,
,-,-,-,-,-,-,-,"3,009,891","3,009,891"
,-,,,,,,,,
,,-,"(124,232)",-,-,-,-,"124,232",-
,-,-,-,"1,187,694",-,-,-,-,"1,187,694"
Total other comprehensive income,,,,,,,,,
,-,-,"(124,232)","1,187,694",-,-,-,"124,232","1,187,694"
,-,-,-,-,-,,-,"(200,000)","(200,000)"
,-,-,-,-,-,,"30,552",-,"30,552"
,-,-,-,-,-,"(35,105)",-,-,"(35,105)"
,"608,187","3,310,542",-,-,-,-,-,-,"3,918,729"
,"608,187","3,310,542",-,-,-,"(35,105)","30,552","(200,000)","3,714,176"
,"1,976,608","16,897,389","(202,078)","199,038","85,819","(35,105)","95,751","8,223,466","27,240,888"
