Desk Name Maximum Minimum Average,31-Dec-2015,31-Dec-2014
"Bank wide 2,058,065 7 837,456","2,866","1,322,903"
"FX Trading 157,841 260 74,831",414,"86,270"
"Consolidated Interest Rate Trading 2,771,007 2,749 876,712","2,749","1,358,199"
"Money Markets Trading 1,039,358 2,729 510,734","2,729","675,152"
"Fixed Income Trading 1,225,209 - 443,365",10,"663,357"
"Credit Trading 22,184 115 16,050",117,"19,698"
Derivatives 102 - 102,1,45
