Year ended 31 December 2016,Column,"Work in
progress",Column,Software,Column,"Other
intangible
assets",Column,Total,Column
,,,,,,,Other,,
,,,Work in,,,,intangible,,
,Year ended 31 December 2016,,progress,,Software,,assets,,Total
,Cost,,KShs'000,,KShs'000,,KShs'000,,KShs'000
,At 1 January 2016,,"48,972",,"1,952,988",,"1,099,059",,"3,101,019"
,Additions,,"103,602",,"454,868",,-,,"558,470"
,Transfers,,"(34,804)",,"24,115",,-,,"(10,689)"
,Foreign exchange differences,,(375),,(60),,,,(435)
,Hyperinflation adjustment,,-,,"1,308",,-,,"1,308"
,At 31 December 2016,,"117,395",,"2,433,219",,"1,099,059",,"3,649,673"
,Amortisation,,,,,,,,
,At 1 January 2016,,-,,"(1,583,317)",,"(763,332)",,"(2,346,649)"
,Amortisation charge for year,,-,,"(122,301)",,"(45,267)",,"(167,568)"
,Foreign exchange differences,,-,,40,,-,,40
,At 31 December 2016,,-,,"(1,705,578)",,"(808,599)",,"(2,514,177)"
,Net book value at 31 December 2016,,"117,395",,"727,641",,"290,460",,"1,135,496"
