"Notes (continued)
14 Breakdown of expenses by nature GROUP COMPANY",Column,Column,Column,Column
Notes,"2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
"Employee benefits 13
Depreciation of property and equipment 26
Depreciation on right-of use assets 30
Amortisation of right-of-use leasehold
27
land
Amortisation of intangible assets 28
Finance costs 15
Other operating expenses
Audit fees
Directors’ fees 42(f)
Franchise fees 42 (i)
Information technology costs
Communication costs
Consultancy, legal and professional fees
Marketing and advertising costs
Deposit protection scheme contribution
Travel and accomodation costs
Other expenses*
Total other operating expenses","9,135
456
324
3
248
10","8,656
400
336
3
219
6","1 66
-
-
-
-
1","81
-
-
-
-
1"
,"37
156
1,148
2,226
307
283
432
500
249
2,159","54
150
1,221
2,371
344
199
334
417
257
3,020","3
8
-
-
-
-
-
-
-
1 5","4
8
-
-
-
-
-
-
-
1 5"
,"7,497","8,367",26,2 7
Total,"1 7,673","1 7,987",1 93,1 09
