Financial investments at fair value through OCI,Column,Column
"Corporate
Sovereign
Bank
Mutual funds and unit-linked investments
Other instruments","-
17,853,280
-
-
-","- - - - - - - -
17,853,280 - - - - - - -
- - - - - - - -
- - - - - - - -
- - - - - - - -"
Gross carrying amount,"17,853,280",
"Add: Fair value reserve ralating to fair value
adjustments (before the ECL balance)","(1,763)",
