NAME,"MARCH
18","MAY
25","AUG
19","NOV
23"
"FN Ojiambo, SC
(Chairman)",P,P,P,P
G R Brackenridge,P,P,P,P
K Mbathi,P,P,P,P
J G Kiereini,P,P,P,P
EW Njoroge,P,P,AP,P
J B Nzibo,P,P,P,P
G R May,P,P,P,P
R N Kimotho,P,P,P,P
R T Ngobi,P,P,P,P
C K Muchene,P,P,P,P
