Column,Column,Column,2016,Column,2015
,,,Kshs’000,,Kshs’000
,Standard Bank South Africa,,,,
Franchise fees,,"540,690",,"458,200",
Information technology,,"27,771",,"86,869",
Other operating costs,,"3,627",,508,
,,,"3,627",,
,,,"572,089",,"545,577"
