Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column,Column,Column
31 December 2016,,"Total
exposure",,"Unsecured
exposure",,"Secured
exposure",,,Secured,"Greater than
0% to 50%",,"Greater than
50% to 100%",,"Greater than
100%",
,,,Total,,Unsecured,,Secured,Netting,exposure,,Greater than,,Greater than,,Greater than
,,,exposure,,exposure,,exposure,agreements,after netting,,0% to 50%,,50% to 100%,,100%
,Asset class,,,,,,,,,,,,,,
,Corporate,,"92,687,711",,"2,615,689",,"90,072,022",-,"90,072,022",,-,,"90,072,022",,-
,Sovereign,,"64,640,257",,"64,640,257",,-,-,-,,-,,-,,-
,Group,,"12,575,544",,"12,575,544",,-,-,-,,-,,-,,-
,Retail,,"59,287,265",,"7,726,870",,"51,560,395",-,"51,560,395",,-,,"51,560,395",,-
,-Retail mortgage,,"15,349,065",,-,,"15,349,065",-,"15,349,065",,-,,"15,349,065",,-
,-Other retail,,"43,938,200",,"7,726,870",,"36,211,330",-,"36,211,330",,-,,"36,211,330",,-
,Total,,"229,190,777",,"87,558,360",,"141,632,417",-,"141,632,417",,-,,"141,632,417",,-
,Add: Financial assets not exposed,"5,389,128","5,389,128",,,,,,,,,,,,
,to credit risk,,,,,,,,,,,,,,
,Add: Coins and Group notes,,"1,571,641",,,,,,,,,,,,
,Add: Other financial assets,,"3,817,487",,,,,,,,,,,,
,Less: Impairments for loans and,"(3,591,243)","(3,591,243)",,,,,,,,,,,,
,advances,,,,,,,,,,,,,,
,Less: Unrecognised off balance,"(30,573,964)",,,,,,,,,,,,,
,sheet items,,,,,,,,,,,,,,
,Total exposure,,"200,414,698",,,,,,,,,,,,
,Reconciliation to balance sheet,,,,,,,,,,,,,,
,Cash and balances with central,"8,621,228","8,621,228",,,,,,,,,,,,
,banks,,,,,,,,,,,,,,
,Derivative assets,,"2,472,191",,,,,,,,,,,,
,Financial investments,,"50,032,732",,,,,,,,,,,,
,Trading assets,,-,,,,,,,,,,,,
,Pledged assets,,"2,894,456",,,,,,,,,,,,
,Other financial assets,,"3,817,487",,,,,,,,,,,,
,Net loans and advances,,"132,576,604",,,,,,,,,,,,
,Total on – balance sheet,"200,414,698",,,,,,,,,,,,,
,exposure,,,,,,,,,,,,,,
