"Notes (continued)
22 Financial assets – (amortised cost)
GROUP",Column,Column
"Note
Pledged assets – (amortised cost) 22 (a)
Financial assets – (amortised cost) 22 (b)","2021
KShs Million","2020
KShs Million"
,"3 ,454
18,319","3 ,676
1 9,515"
,"2 1,773","2 3,191"
22 (a) Pledged assets – (amortised cost),,
"Amortised cost/held to collect debt securities
Gross pledged assets at amortised cost
Allowances for impairments
Expected credit loss for financial assets measured at
amortised cost (IFRS 9) 22.1
Credit impairment losses
Net pledged assets at amortised cost","3 ,455","3 ,677"
,"3 ,455","3,677"
,( 1),(1)
,( 1),(1)
,"3 ,454","3 ,676"
Maturity analysis:,,
"Maturing after 1 months but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years","509
389
2,556",
,,"210
2,952"
,"3 ,454","3,676"
"These transactions are conducted under terms that are usual and customary to security lending, and security
borrowings and lending activities.
22 (b) Financial assets – (amortised cost) GROUP",,
"Debt securities: Note
Listed
Unlisted
Gross financial assets at amortised cost
Allowances for impairments
Expected credit loss for financial assets measured at
amortised cost (IFRS 9) 22.1
Credit impairment losses
Net debt securities at amortised cost","2021
KShs Million","2020
KShs Million"
,"1 8,342
-","1 9,529
-"
,"1 8,342","1 9,529"
,(23),(14)
,(23),(14)
,"1 8,319","1 9,515"
