millions,H1 2025,FY 2024,H1 2024
"ts
cial investments
s and advances to banks
s and advances to customers
r assets
l assets",,,
,"108,387","99,190","74,600"
,"75,271","64,486","122,557"
,"233,457","230,218","238,844"
,"56,604","60,940","61,930"
,"473,719","454,834","497,930"
"lities
sits from banks
sits from customers
wings
r liabilities",,,
,"20,823","20,819","38,664"
,"329,602","318,193","348,910"
,"12,995","10,482","10,481"
,"36,033","29,940","30,515"
l liabilities,"399,453","379,434","428,570"
"ty
equity",,,
,"74,265","75,400","69,361"
lities and equity,"473,719","454,834","497,930"
