Column,Column,2015,Column,2014,Column
,,KShs’000,%,KShs’000,%
A,griculture,"1,690,648",35%,"1,090,831",36%
M,anufacturing,"10,579",-,"7,203",-
B,uilding and construction,"128,527",3%,"112,078",4%
W,"holesale, retail trade and restaurants","722,510",15%,"336,801",11%
T,ransport and communication,"289,031",6%,"71,976",2%
F,inance and insurance,"211,551",4%,30,-
R,eal estate and business service,"308,076.",6%,"341,636",11%
O,ther activities and social service,"1,497,472",31%,"1,063,175",36%
,,"4,858,394",100%,"3,023,730",100%
