YEAR,2023,2022,2021
"Amount
Invested",KShs. 58 million,KShs. 54 million,KShs. 43 million
"No. of Hours
Training","Total 65,593
Instructor Led - 23,576
e-learning/ online - 42,017","Total 61,412","Total 72,757"
,,,"Virtual Classroom - 18,060"
,,,"e-learning/ online - 54,697"
"Annual average
Learning hours",56.5 hours per employee,"Average Time Spent Learning
per Employee 56.4 hours",70 hours per employee
"Employees
Trained","Instructor Led- 1,159 (an
employee can attend
more than one learning
intervention in the year","Instructor-led- 1,188 An
employee can attend
more than one learning
intervention in the year","Instructor-led- 1,604
(an employee can attend
more than one learning
intervention in the year"
