Column,Key audit matter,Column,How our audit addressed the Key audit matter
"Hyperinflationary accounting for South
Sudan branch
As explained in Note 3 (e) to the financial
statements, the Bank has applied hyperinflationary
accounting for the South Sudan branch.
Although one of the indicators that an economy is
hyperinflationary under IAS 29 is the cumulative
inflation rate over a three year period exceeds a rate
of 100%, the determination of whether an economy
is hyperinflationary is a matter of judgment. The
group accounting policy requires the application of
hyperinflation accounting where an economy’s
three-year cumulative inflation rate and the monthly
year-on-year inflation exceed a rate of 100%.
Based on the policy, the directors have applied
hyperinflation accounting for the South Sudan
branch for the period ending 31 December 2016. As
a result, the group rebased the financial statements
of the branch; which has a South Sudanese Pound
functional currency for inclusion in the Bank’s
financial statements for the year ending 31
December 2016.
Our audit focused on the appropriateness of the
price indices used in rebasing the financial
information and the correct application of the
requirements of IAS 29 in the financial statements.",,"We reviewed the bank’s accounting policies regarding
financial reporting in hyperinflationary economies and
assessed whether the policies were in line with the
provisions of IAS 29;
We tested reasonableness of the price index used by the
Bank, together with the related assumptions;
We tested the computation including rebasing monetary
loss for compliance with the principles of IAS 29; and
We evaluated the disclosures in the financial statements
for compliance with the requirements of IAS 29.",
"Information technology (IT) systems and
controls over financial reporting
The Company’s financial accounting and reporting
processes are heavily dependent on complex IT
systems and applications. Specifically, the
calculation, recording, and financial reporting of
transactions and balances related to revenue,
interest costs, fees and commissions, loans and
advances, investments in securities and customers
deposits are significantly dependent on IT
automated systems and processes. There is a risk
that automated accounting procedures and related
IT dependent manual controls are not designed and
operating effectively.",,"We assessed and tested the design and operating
effectiveness of the controls over the continued integrity
of the IT systems that are relevant to financial
accounting and reporting. We examined the framework
of governance over the Company’s IT organization and
the controls over program development and changes,
access to programs and data and IT operations,
including compensating controls where required. Where
necessary, we also carried out direct tests of certain
aspects of the security of the Company’s IT systems
including access management and segregation of duties.
We re-performed the significant automated
computations and compared our results with those
from the system and the general ledger. We tested the
significant system interfaces to ensure the accuracy
and completeness of the data transfer.
The combination of these tests of the controls and the
direct tests that we carried out gave us sufficient
evidence to enable us to rely on the continued and
proper operation of the Company’s IT systems for the
purpose of the audit of the financial statements.",
"Goodwill impairment assessment
As shown in Note 29 of the financial statements, the
directors assess the impairment of goodwill arising
from acquisitions at the cash generating unit level",,"We evaluated the composition of management’s future
cash flow forecasts and the underlying assumptions
based on the historical performance of the business,",
