Dec-16,Dec-15,Change
Kes millions,Kes millions,%
"52,927","48,702",
"16,989","23,290",
"115,588","104,982",
"16,432","19,072",
"2,262","2,302",
"10,485","10,104",
"214,683","208,452",
"36,507","47,425",
"119,328","106,246",
"3,986","6,482",
"14,721","9,934",
"40,141","38,365",
"214,683","208,452",
"30,207","26,588",
"2,677","5,175",
"27,530","21,413",
