Statement of financial position,Column,Column,Column,Column,Column,Column
,Total,,CIB,,PBB,
,2014,"2013
Kshs’000",2014,2013,2014,2013
,Kshs’000,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Assets,,"9,466,551
48,545,435
3,003,522
103,847,691
2,997,235
9,349,759
949,013
-
2,913,749",,,,
"Cash and balances with
Central Bank of Kenya","9,555,580",,"8,697,931","8,665,083","857,649","801,468"
Financial assets,"52,167,614",,"52,149,864","48,545,435","17,750",-
Derivative assets,"1,960,415",,"1,960,415","3,003,522",-,-
Loans and advances,"101,210,109",,"57,984,570","70,702,712","43,225,539","33,144,979"
"Property, equipment and
intangibles","2,898,601",,"1,186,217","1,721,570","1,712,384","1,275,665"
Goodwill,"9,349,759",,"9,349,759","9,349,759",-,-
Deferred income tax,"1,435,226",,"545,230","336,724","889,996","612,289"
Current tax assets,"4,294",,"(30,019)",-,"34,313",-
"Other receivables
and prepayments","2,417,387",,"293,219","1,835,218","2,124,168","1,078,531"
Total assets,"180,998,985","181,072,955","132,137,186","144,160,023","48,861,799","36,912,932"
,,"130,285,985
231,689
259,676
2,777,183
5,847,752
9,244,879",,,,
Liabilities,,,,,,
Deposits,"129,409,143",,"84,611,477","97,602,307","44,797,666","32,683,678"
Current income tax,-,,"(2,358)","209,559","2,358","22,130"
Trading liabilities,-,,-,"259,676",-,-
Derivative liabilities,"2,232,264",,"2,232,264","2,777,183",-,-
Borrowings,"6,513,417",,"4,215,066","3,945,116","2,298,351","1,902,636"
"Other liabilities and accrued
expenses","5,948,971",,"2,624,555","6,774,565","3,324,416","2,470,314"
Total liabilities,"144,103,795","148,647,164","93,681,004","111,568,406","50,422,791",
Shareholders’ equity,"36,895,190","32,425,791","28,172,562","25,635,387","8,722,628",
Funding,-,-,"10,283,620","6,956,230","(10,283,620)",
Total equity and liabilities,"180,998,985","181,072,955","132,137,186","144,160,023","48,861,799",
,,"301,747
49,249",,,,
Other information,,,,,,
"Additions to property
and equipment","461,422",,"156,998","134,748","304,424",
Additions to intangible assets,"6,500",,"2,239","17,975","4,262",
