"Dec-2016
Kes millions","Dec-2015
Kes millions","Change
%"
"10,860",,
"7,657",,
"18,517",,
"(1,752)",,
"16,765",,
"(10,716)",,
"6,049",,
"(1,630)",,
"4,419",,
