Column,"1,639,157",Column,Column,Column
"3,009,891",,,"140,720","120,094"
,"199,835",,,
-,,,-,-
,"273,684",,,
"304,001",,,"304,001",
9.90,,5.99,0.46,0.44
-,,0.73,-,-
