Column,2012,2011
,Shs’000,Shs’000
At start of year,"616,128","(200,443)"
Charge to income statement (note 16),"371,279","467,485"
Charge to other comprehensive income,"(509,012)","684,424"
Consolidation adjustment,-,"(333,900)"
Eliminated on deconsolidation,-,"(1,438)"
At end of year,"478,395","616,128"
