IFRS 9 ECL Driver,Reason
"Stage one
(12-month
expected loss)",
"Stage two (lifetime expected
loss for items for which there is a
significant increase in credit risk)",
"Stage three (lifetime expected
loss for credit impaired
exposures)",
Off-balance sheet exposures,
Forward-looking information,
