Column,2012,2011,Column
,KShs’000,KShs’000,
Staff Costs,"3,543,387","2,947,416",
Operating,,,
Expenses,"5,325,440","4,442,947",
Total,,,
Expenses,"8,868,827","7,390,363",20%
