31 December 2023,Performing (Early arrears),Non - performing,"Total
KShs Million"
,"1 to 29 days 30 to 59 days 60 to 89 days
KShs Million KShs Million KShs Million","90 to 180 days More than 180 days
KShs Million KShs Million",
PPB,"5 ,559 1 ,239 7 32",- -,"7 ,530"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","3,592 800 471
520 89 19
1,447 350 242","- -
- -
- -","4 ,863
6 28
2 ,039"
BCB,"1 1,219 4 30 6 93",- -,"1 2,342"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","4 ,006 - -
1 ,075 1 70 5 3
6 ,138 2 60 6 40","- -
- -
- -","4 ,006
1 ,298
7 ,038"
Corporate and Investment Banking,"6 ,946 - 3",- -,"6 ,949"
Corporate lending,"6 ,946 - 3",- -,"6 ,949"
Total recognised financial instruments,"2 3,724 1 ,669 1 ,428",- -,"2 6,821"
