"Notes (continued)
49 Assets and liabilities classified as held-for-sale",Column,Column,Column
,,"2021
KShs Million","2020
KShs Million"
,Assets,,
"Trade and other receivables
Cash and cash equivalents
Current income tax",,"-
-
-","7
67
2"
,,-,76
,Liabilities,,
Trade and other payables,,-,7
,,-,7
"50 Subsequent event
There have been no other events or transactions subsequent to 31 December 2021 to the date of these
financial statements that would have a material effect on the financial statements at thatdate or for theyear
then ended and would require adjustment of, or disclosure in the financial statements or notes thereto in
accordance with IAS 10 Events After the Balance Sheet Date.",,,
