Group,Column,Company
2014,"2013
KShs’000",2014
KShs’000,,KShs’000
,"9,466,550
45,153,463
3,391,972
3,003,522
34,714,199
69,133,492
2,352,592
-
2,175,185
62,761
759,289
9,349,759
-
949,013",
"9,555,580",,"56,911"
"49,283,320",,-
"2,884,293",,-
"1,960,415",,-
"12,862,672",,-
"88,347,438",,-
"2,417,387",,"8,041"
-,,"18,175,338"
"2,348,229",,-
"59,807",,-
"490,565",,-
"9,349,759",,-
"4,294",,-
"1,435,226",,-
"180,998,985","180,511,797","18,240,290"
,"2,777,183
259,676
35,558,146
94,727,839
8,683,721
5,847,752
-
231,689",
"2,232,264",,-
-,,-
"33,570,267",,-
"95,838,876",,-
"5,948,968",,"31,220"
"6,513,417",,-
-,,"1,833"
-,,45
"144,103,792","148,086,006","33,098"
,"1,976,608
16,897,389
444,709
12,506,196
600,889",
"1,976,608",,"1,976,608"
"16,897,389",,"16,897,389"
"330,248",,-
"15,635,275",,"(2,722,478)"
"2,055,673",,"2,055,673"
"36,895,193","32,425,791","18,207,192"
"180,998,985","180,511,797","18,240,290"
