Up to,1 – 6,6 – 12,Column
1 month,months,months,Total
KShs’000,KShs’000,KShs’000,KShs’000
"56,911",-,-,"56,911"
-,-,"8,041","8,041"
"56,911",-,"8,041","64,952"
-,-,"(31,220)","(31,220)"
-,-,"(1,833)","(1,833)"
-,-,"(33,053)","(33,053)"
"56,911",-,"(25,012)","31,899"
