"90,380 - 17 - 2 65 ( 81,328) (81,063) - (8,734) 583",Column,Column,Column,Column,Column,Column,Column,Column,Column
"61,539",64,10,-,2 65,"( 52,551)","(52,286)",-,"(8,734)",583
64,(64),7,-,-,-,-,-,-,-
"28,777",-,-,-,-,"( 28,777)","(28,777)",-,-,-
