"Level 1 Level 2 Level 3 Total
KShs’000 KShs’000 KShs’000 KShs’000"
"9,466,550 - - 9,466,550
- 34,714,199 - 34,714,199
- - 69,133,492 69,133,492"
"9,466,550 34,714,199 69,133,492 113,314,241"
"15,069,728 25,839,101 - 40,908,829
79,768,952 14,375,599 - 94,144,551
4,948,385 623,834 - 5,572,219"
"99,787,065 40,838,534 - 140,625,599"
