"Group and Company statement of other comprehensive income
GROUP COMPANY",Column,Column,Column,Column,Column
,,GROUP,,COMPANY,
,,Year ended 31 December,,Year ended 31 December,
"Profit for the year
Other comprehensive income for the year, net of income tax
Items that may be reclassified to profit or loss
Currency translation differences for foreign operations
Net gains in debt financial assets measured at fair value through
other comprehensive income (FVOCI)*
Net loss on financial assets reclassified to profit or loss
Total other comprehensive income for the year, net of income
tax
Total comprehensive income for the year","Note
21.2
21.2","2021
KShs. Million","2020
KShs. Million","2021
KShs. Million","2020
KShs. Million"
,,"7,208
(324)
1 3
(1)","5 ,192
(170)
1
(34)","2,169
-
-
-","2,275
-
-
-"
,,(312),(203),-,-
,,"6,896","4,989","2,169","2,275"
* Income tax relating to each component of other comprehensive income is disclosed in note 38,,,,,
