"Income statement
Interest income
Interest expense
Net interest income
Credit impairment losses
Net income after credit impairment losses
Fees and commission income
Fees and commission expense
Net fees and commission income
Trading revenue
Net income from financial instruments at FVPL
Other income
Other gains and losses on financial instruments1
Net trading and other income
Total income
Employee benefits expense
Depreciation
Other operating expenses
Finance costs
Profit before income tax
Income tax expense
Profit for the year","Total
KShs'000
2018","Total
KShs'000
2017","Kenya
KShs'000
2018","Kenya
KShs'000
2017","South Sudan
KShs'000
2018","South Sudan
KShs'000
2017"
,"19,209,386
(7,157,013)","16,592,500
(6,004,664)","19,207,763
(7,150,228)","16,591,346
(6,001,203)","1,623
(6,785)","1,154
(3,461)"
,"12,052,373
(2,064,462)","10,587,836
(2,761,325)","12,057,535
(2,113,139)","10,590,143
(3,009,644)","(5,162)
4 8,677","(2,307)
2 48,319"
,"9,987,911
4,445,085
(430,944)","7,826,511
3,947,732
(401,215)","9,944,396
3,753,711
(427,266)","7,580,499
3,359,272
(396,089)","4 3,515
6 91,374
(3,678)","2 46,012
5 88,460
(5,126)"
,"4,014,141
5,350,669
40,938
18,408
891","3,546,517
4,403,262
-
109,980
-","3,326,445
4,910,095
40,807
18,404
891","2,963,183
3,943,227
-
109,974
-","6 87,696
4 40,574
131
4
-","5 83,334
4 60,035
-
6
-"
,"5,410,906","4,513,242","4,970,197","4,053,201","4 40,709","4 60,041"
,"19,412,958","15,886,270","18,241,038","14,596,883","1 ,171,920","1 ,289,387"
,"(5,651,978)
(607,217)
(4,274,966)
(93,579)","(5,569,320)
(557,245)
(4,063,303)
(283,452)","(5,339,829)
(602,961)
(3,921,783)
(54,156)","(5,289,033)
(551,286)
(3,671,738)
(56,448)","(312,149)
(4,256)
(353,183)
(39,423)","(280,288)
(5,959)
(391,565)
(227,004)"
,"8,785,218","5,412,950","8,322,311","5,028,380","4 62,909","3 84,570"
,"(2,609,146)","(1,073,814)","(2,543,243)","(1,047,611)","(65,903)","(26,203)"
,"6,176,072","4,339,136","5,779,068","3,980,769","3 97,006","3 58,367"
